,video_id,video_date,video_description,suggested_words,cos_score,headline,headline_type,headline_genre
0,7273221955937914155,2023-08-30,replying to jadenot perfect yet i made a couple of changes later but this is the final result from the session choreograph with me choreography raynedrop,angels in tibet angels in tibet dance angels in tibet song angels in tibet kirsten angels in tibet lyrics,0.31987074,the real tahiti olympics celebrate polynesian culture,Sports,
4,7285397643725983008,2023-10-02,so to dream academy for teaching me how to dance like this tho a sweaty lil coverrrr dc hamlytavarez dance dance choreography cover dream academy hq adela jer gov a,dream academy angels in tibet adela dream academy adela elimination from dream academy dream academy elimination manon dream academy angels in tibet dance tutorial angels in tibet tutorial angels in tibet dance sophia dream academy,0.34291527,balanchine blue a clean field for dance that says city ballet,Culture,
12,7309159185550183723,2023-12-05,flights for people with amazon student prime for the holidays this is the most insane flight deal i have ever seen go book asap only flights per day available only for flights within the us must book december december departure date must be between december and december return date must be between december and january choose a flight itinerary with only one traveler not seeing flights for itineraries over are discounted at a cost of plus the amount over remember there are a limited number of discounts each day so book asap travel travel tik tok student travel travel deal travel discount amazon prime students amazon prime student student universe cheap flight flight deal flight deals cheap flights travel deals travel finds travel discount cari travels flight discounts travel tok student travels student travel tips student prime holiday travel holiday travel deals insane deals,,0.32445094,my notsoperfect holiday shopping excursion with ai chatbots,Business,
13,7308541182819175722,2023-12-03,replying to emily today were making some diy ornaments for my toddlers infamous step my first christmas tree tried to make them a little more toddler proof they might just have a little color too diy step christmas my first christmas tree diy project diy ornaments toddler christmas tree step toys toddler mom diy mom toddler christmas moms of tik tok,,0.3831063,it took  years to grow this christmas tree the price ,Metro,
14,7307649122918567211,2023-12-01,lets give my toddlers step my first christmas tree a diy makeover what do you think diy step christmas my first christmas tree diy project toddler christmas tree step toys toddler mom diy mom toddler christmas moms of tik tok,nattie christmas tree sad baby beige step my first christmas tree my first christmas tree step christmas tree spray painting ornaments brown child beige christmas christmastree christmas decorations christmas tree decor,0.42173097,how to create your own holiday wreath,,
15,7308598201286937902,2023-12-03,sad beige diy alternative also sketches me out tbh sad beige mom sad beige christmas child safety,,0.3171029,cheap and cozy onepot soups because the holidays wore us out,Dining,
16,7295000432919776517,2023-10-28,save this one for later diy ornaments a super fun activity for the kids too here are the steps gather those old ornaments and pick your color scheme use spray paint or acrylic paint to coat your ornaments after theyve dried add some rub n buff in your desired color hang them on the tree or display them in a decorative bowl holiday countdown holiday decor christmas countdown for you pag christmas tik tok,,0.29856902,how to hang drapery,Real Estate,
17,7308485036410555653,2023-12-03,you sure showed me you sure showed me,,0.37452582,it wouldnt be makebelieve if youd believe in me,Podcasts,
18,7303788835798863147,2023-11-21,a different name for every culture too lol trader joe s trader joe s orange chicken orange chicken asian food tik tok,trader joe foreign names trader jose trader jacques trader joes orange chicken trader joe foreign names indian trader joes indian food trader joes butter chicken trader joes meals trader joe must haves indian trader joes name,0.2816263,vivek ramaswamy loves his heritage just dont call him an indian american,National,
22,7308493561039736106,2023-12-03,i feel like a porcelain doll this powder is epic lolol,,0.3538472,what it feels like to be the target of chinas water cannons,Foreign,
23,7307454332465728810,2023-11-30,replying to killercatmay i got yall k pop jyp wonder girls,,0.32641217,jeff tweedy i thought i hated pop music dancing queen changed my mind,OpEd,
24,7302509037529140522,2023-11-17,exploring the best of budapest rc memories,,0.30191168,the best places to watch the new york city marathon,Metro,
26,7309309846984133931,2023-12-05,the way she arrangerd her voice sounds amazing arr iana grande vocals producer you for your page clips v irl,,0.42949834,can one of operas greatest singers get her voice back,Arts&Leisure,
27,7309475042990083374,2023-12-06,green screen if shes not spending that was alloted to her then its logical for me to use it im actually giving use value to that so they should be grateful like how am i the bad guy sister korean sisters frugal siblings spoiled brother,evelyn tpm hermes evelyn tpm hermes bag hermes bag siblings korean hermes loafer her bag hermes buying a hermes bag hermes toiletry bag sibling gift ideas,0.3114775,rose review my sisters keeper,Weekend,
29,7307353906361732385,2023-11-30,its too late its been five years and im stuck korean boys can do no wrong in their parents eyes a mbw trending viral korean 국제커플 korean boy k drama couple tok funny,korean boyfriend korean boy and black girl korean men me dating the first and only son of a korean family black and korean couple korean couple ambw couple interracial couple k drama,0.3442527,tiny love stories its a romcom opening baby,Styles,
31,7307483427417214254,2023-11-30,upset is an understatement chi pot le,chipotle burrito chipotle burrito chipotle bowl small chipotle burrito chipotle order chipotle burrito order chipotle measuring cup chipotle guy best chipotle order,0.4132251,on the border the perfect burrito is a thin foilwrapped treasure,Dining,
32,7304525431334571310,2023-11-23,caring for a cat with paresis like my cat cappy initially had a learning curve with almost years of caring for cappy we have really streamlined our bedtime routine cappys bedtime routine takes less than minutes now that is a similar time commitment as a dog when you put it in perspective advocate pares is disabled cat you can do it cats,,0.23939025,would you make your pet live longer if you could,Learning,
33,7304361579066445102,2023-11-22,if youre in the market for this nespresso machine use code clara to save n espresso partner espresso martini cocktails with clara getting ready drink,,0.319503,quotation of the day an oldfashioned with a twist its made with brandy,Summary,
34,7309185926003985707,2023-12-05,this is my offical audition for nutcracker thank u also this dance is very addicting i feel so cool and sexy,save the last dance you betta hit that sara your gf wants to be my gf julia stiles julia stiles dancing julia stiles the last dance your gf wants to be my gf dance ballerinas in hip hop julia stiles save the last dance save the last dance audition scene,0.42354333,best dance performances of ,Arts&Leisure,
35,7290020890689965358,2023-10-14,poor mason xyz bca,disney love is blind season love is blind reunion emotional support dog love is blind dog singing ariel love is blind dog emotional reunion with owner dog of tiktok dog singing in car,0.37429982,marina abramovic thinks the pain of love is hell on earth,Magazine,
36,7309173608817954090,2023-12-05,green screen duet with kodiak when a dog is trying really hard to ask for space its important we listen any dog even a well trained dog can bite if their signals are ignored and boundaries are pushed repeatedly dog behavior dog body language dog language canine communication petting your dog,rottie rumble golden growl rottie rumble vs growl real rottie rumble kodiak rottie positive rottie rumble appeasement paw body language of dogs dog of tiktok dogtok,0.30320814,my year of being very online about dogs,OpEd,
37,7309522024194526510,2023-12-06,yeah its a lot theres more ick,,0.2974335,shes still in love with her little island,RealEstate,
38,7309236598254701870,2023-12-05,laufey everybodys falling in love with you and im falling behind cant even get one ticket in cart,,0.34489292,i hadnt gone far when i had to flop down in the grass,Metropolitan,
39,7308570521841552682,2023-12-06,the first one miss the shoot becose of the last one arimsoltan airlines turkish airlines euroleague viral video trending usa usa tk tok love,,0.35561973,the bigger airlines get the worse they become,OpEd,
40,7304494103281028395,2023-11-22,i really thought i had him manx cat,,0.27857357,how the t rex built up that bonecrushing bite,Science,
41,7304493516271504686,2023-11-22,i cant with these mixed signals mixed signals crush rel a table dating be like ghosted dating memes friend or lover confused,,0.31893528,why arent more people marrying ask women what dating is like,OpEd,
43,7308000216790093099,2023-12-02,ts was funnier in my head ifykyk icecream cake dpr ian,,0.41534707,review madwomen of the west is comedy as comfort food,Culture,
45,7294817425965567278,2023-10-27,nothing makes me more angry hot girl walk confidence fat rant weight loss low carb weight loss transformation fall plus size weight loss transformation in progress diet fitness motivation weight loss transformation,emily bluntly enormous emilyblunt interview enormous emily blunt emily blunt interview transformation videos before and after transition fitness motivation plussize models plus size workout emily bluntly waitress apology,0.25389478,bariatric surgery at ,Magazine,
46,7308700504182328618,2023-12-04,hello peter welcome to fortnite digital art procreate horror two sentence horror stories mom life art tok,hello peter welcome to fortnite i heard it too animation his room never had a closet horror i heard it too coryxkenshin sentence horror stories art i heard it too short film his room never had a closet i told her there was no monster two sentence horror sentence horror stories animated,0.34960505,forget halloween bring ghost stories back to christmas,Express,
51,7308594223853374763,2023-12-03,us in another universe you and me us in another universe georgia aquarium atlanta georgia shark shark tok zebra shark aquarium,us in another universe michael cera sharks aquarium whale shark georgia aquarium atlanta sharks being cute michael cera song lemon sharks georgia aquarium,0.29748085,netflix builds a squid game universe as it awaits a second season,Business,
52,7305904123122060575,2023-11-26,peak production z rel a table highschool invincible pov fy px y bca,,0.22346577,pga tour boss describes what led to his medical leave of absence,,
54,7304757623600057631,2023-11-23,it may be a good time to give your sibling a call just because additionally these important bonds can also be formed with the family you choose according to kluger visit the in our to watch the full talk and learn more about the sibling bond,,0.25463375,the best true crime to stream family matters,Culture,
