,video_id,video_date,video_description,suggested_words,cos_score,headline,headline_type,headline_genre
0,6786754561525681413,2020-01-27,made a fool of myself fail first date,,,,,
2,7184990251390176554,2023-01-04,first date pt,warming up for a date first date dates get ready with me for a date grwm first date going on a date first dates be like first date makeup thoughts on the first date outfits for first date,0.6016516,on the fifth try a first date to remember,Styles,
3,6851362213324786949,2020-07-19,undeniable signs of an incredible first date dating tik tok partner learn on tik tok first date relationship advice,,,on the fifth try a first date to remember,Styles,
4,7296024637442510111,2023-10-31,another dating nightmare dating arranged marriage story time,disney first date second date update disney card game first date nightmare hinge date priyanka first date first date storytime first date tips arranged marriages,0.55374724,an accidental first date leads to lifelong partnership,Styles,
5,7292363811741338926,2023-10-21,walk right on out the front door fried pickles oysters bad first date,,0.3220553,a south florida museum showcases burgers fries and beers made of glass,SpecialSections,
6,7248130591726636334,2023-06-24,cant trust people before the first date dating dating fail scam mer,,0.37311903,muzz a muslim dating app takes its matchmaking on the road,Styles,
7,7223616709276536110,2023-04-19,breaking the ice with kindness credits to neenib kindness love kindness positiv it y love,,0.50110984,it takes more than the kindness of strangers,BookReview,
8,7144768824561159467,2022-09-18,take my advice im begging you first date first date guide first date tips dating modern dating hinge tinder bumble hinge dating dating tips dating advice relationship advice single breakup,first date tips first date first date outfits first date advice dates advice dates dating tips first date rules what to do on a first date going on a date,0.3794353,after a nudge from aziz ansari a first date,Styles,
9,7259950700640144683,2023-07-25,first date relationship barbie,first date dating going on a date barbie relationship were on a first date relationship tiktoks amex gold card amex black card thoughts on the first date,0.32001033,i dated a celebrity do i have to tell my wife,Magazine,
10,7187045796615834923,2023-01-10,stay safe on first dates with public data check check ur self ad first date couples,,0.5473037,on the fifth try a first date to remember,Styles,
11,7179264200957644075,2022-12-20,i hope this doesnt get me put on a list first date pov,first date littlewetraccoonpaws pov ur first date at the movies going on a date conversation date dates were on a first date thoughts on the first date questions to ask on a first date museum date,0.30710042,your weirdest dates,Podcasts,
12,7212351590630509867,2023-03-19,breaking generational curses and trusting ur kids,,0.33690327,judge john hodgman on introducing your children to swearing,Magazine,
13,7111399823433092395,2022-06-20,good vs bad first date vibe mens dating dating coach,dating coach first date tips first date outfits first date dating coach dating advice going on a date dating tips first date advice,0.60169965,falling for each other then a first date,Styles,
14,7208344011805904174,2023-03-08,should you try to kiss on the first date comedy podcast funny dating,first date kiss on first date podcast comedy dating kiss should you kiss on the first date thoughts on the first date podcast clips conversation date dating scene,0.5206977,would you date a podcast bro,Styles,
15,7144785398773091630,2022-09-18,pov skit funny,take her swimming on the first date pov he takes her on a swimming date first date pool pool date swimming first date take her to the pool first date dating swimming pool skit,0.42409605,after a nudge from aziz ansari a first date,Styles,
